No.,Carry (yd),Roll (yd),Total (yd),Lateral (yd),Ball (mph),Spin (rpm),Spin Axis (deg),Launch V (deg),Launch H (deg),Time (s),Height (ft),Wind Speed (mph),Wind Direction (deg),Air Pressure (psi),Temperature (F),Humidity (%),Ball type,Source
1,266.1,10,276.1,7.8 L,160.9,2817,6.2 L,11.5,0.9 R,6.6,92,-,-,14.69,77,50,Standard,jlag1
2,198.7,4.5,203.2,0.7 L,129.5,4477,1.5 R,15.8,0.9 L,6.3,93.3,-,-,14.69,77,50,Standard,jlag1
3,276.7,7.9,284.6,12.4 R,161.7,2607,0.4 R,15.4,2.4 R,7.4,126.2,-,-,14.69,77,50,Standard,jlag1
4,269.5,6.2,275.6,38.4 R,161.7,3357,10.4 R,14.7,3.3 R,7.4,125.3,-,-,14.69,77,50,Standard,jlag1
5,105.7,0.9,104.8,3.8 R,90.7,11059,2 R,29.5,1.1 R,5.5,88.8,-,-,14.69,77,50,Standard,jlag1
6,190.6,3.5,194.1,0,126.8,5041,1 L,16.7,0.5 R,6.4,97.3,-,-,14.69,77,50,Standard,jlag1
7,257.6,5.8,263.3,7.4 L,156.2,3640,5.3 L,14.4,0.9 R,7.3,119.1,-,-,14.69,77,50,Standard,jlag1
8,164.9,1.7,166.6,4.1 L,116.6,6279,2.8 L,19.8,0,6.2,99.8,-,-,14.69,77,50,Standard,jlag1
9,246.9,5.5,252.4,0.3 L,149.3,3351,6.8 L,17.4,3.1 R,7.3,129,-,-,14.69,77,50,Standard,jlag1
10,283.7,8.5,292.2,3.8 R,164.5,2292,5.8 L,15.5,3.2 R,7.4,127.1,-,-,14.69,77,50,Standard,jlag1
11,274.8,8.8,283.6,4 R,162.1,2600,7 L,14.1,3.8 R,7.1,114,-,-,14.69,77,50,Standard,jlag1
12,127.3,0.4,127.7,1.7 L,99.4,7857,1.8 L,26.6,0.1 R,5.8,96.4,-,-,14.69,77,50,Standard,jlag1
13,251.9,5,256.9,26.5 R,154.5,3998,3.1 R,14.2,4.5 R,7.3,118.6,-,-,14.69,77,50,Standard,jlag1
14,137.4,0,137.4,2.1 R,107.2,8602,2.3 L,25.6,2.1 R,6.2,109.5,-,-,14.69,77,50,Standard,jlag1
15,257.1,1.9,259,22.1 R,160.2,3658,7.2 R,25.6,1 R,8.9,218.8,-,-,14.69,77,50,Standard,jlag1
16,257.8,6.2,264,21.2 L,155.8,3304,12.9 L,15.7,1.2 R,7.2,122.9,-,-,14.69,77,50,Standard,jlag1
17,257.8,6.2,264,21.2 L,155.8,3304,12.9 L,15.7,1.2 R,7.2,122.9,-,-,14.69,77,50,Standard,jlag2
18,62.1,1.6,63.7,2.1 R,61,8986,1 R,29.7,1.7 R,3.5,37.4,-,-,14.69,77,50,Standard,jlag2
19,274.5,10.9,285.4,11 L,161.9,2165,7.9 L,13.6,0.8 R,6.8,104.1,-,-,14.69,77,50,Standard,jlag2
20,94.7,0.7,94,8.7 R,82.5,10659,4 R,29.5,3.6 R,5,72.4,-,-,14.69,77,50,Standard,jlag2
21,178.9,0.9,179.8,12.1 R,128.9,4062,6.5 R,35.9,0.4 R,8.2,206.7,-,-,14.69,77,50,Standard,jlag2
22,196.3,3.8,200.2,0.4 L,128.9,4769,1.1 L,16.7,0.4 R,6.5,99.6,-,-,14.69,77,50,Standard,jlag2
23,173.3,2,175.3,5.7 R,120.4,5812,0.6 L,21.7,2.2 R,6.6,116,-,-,14.69,77,50,Standard,jlag2
24,280.6,9.6,290.1,15.6 R,163.1,2167,3.5 L,14.8,4.6 R,7.1,117.6,-,-,14.69,77,50,Standard,jlag2
25,67.5,1.2,68.8,1 L,64.4,9315,1.8 R,30.1,1.4 L,3.8,43,-,-,14.69,77,50,Standard,jlag2
26,278.4,11.7,290.1,16.4 L,164.2,1787,19.6 L,15.2,3.8 R,6.8,111.3,-,-,14.69,77,50,Standard,jlag2
27,168.2,1.8,169.9,1.4 R,117.9,5973,2.8 L,21.4,1.9 R,6.5,109.6,-,-,14.69,77,50,Standard,jlag2
28,211.2,3.4,214.6,8.8 L,136.4,4644,8.9 L,18.2,2.1 R,7,120.3,-,-,14.69,77,50,Standard,jlag2
29,37.4,1.1,38.5,5.8 R,44.8,7010,6.3 R,39.7,7.8 R,2.9,28.9,-,-,14.69,77,50,Standard,jlag2
30,283.6,9.9,293.5,18.9 R,164.8,2125,3.5 R,14.4,2.4 R,7.1,116,-,-,14.69,77,50,Standard,jlag2
31,141.1,0.1,141,8.2 L,110.1,8008,3.5 L,27.9,1.4 L,6.6,125,-,-,14.69,77,50,Standard,jlag2
32,238,13.8,251.8,0,151,2764,0,9.5,0,5.8,64.1,-,-,14.69,77,50,Standard,driver
33,243.3,14.9,258.1,0,153.5,2552,0,9.5,0,5.8,64.7,-,-,14.69,77,50,Standard,driver
34,196.8,20.6,217.4,0,136.7,2418,0,8.6,0,4.7,40.9,-,-,14.69,77,50,Standard,driver
35,233.6,9.6,243.2,0,148.7,3543,0,9.6,0,6,69.9,-,-,14.69,77,50,Standard,driver
36,225.7,13.7,239.4,0,145.2,2835,0,9.8,0,5.6,60.8,-,-,14.69,77,50,Standard,driver
37,227.8,21.1,248.9,0,148.9,1894,0,9.3,0,5.2,52.3,-,-,14.69,77,50,Standard,driver
38,239.9,11.4,251.3,0,147.8,2624,0,12.2,0,6.1,79.9,-,-,14.69,77,50,Standard,driver
39,224.9,13.8,238.8,0,145.2,2854,0,9.6,0,5.5,59.5,-,-,14.69,77,50,Standard,driver
40,247.3,9.6,256.9,0,155.4,3570,0,9.2,0,6.3,74.6,-,-,14.69,77,50,Standard,driver
41,248.5,11.4,260,0,154.8,2976,0,9.9,0,6.1,73.6,-,-,14.69,77,50,Standard,driver
42,249.3,15.1,264.4,0,155.7,2409,0,9.8,0,5.9,68,-,-,14.69,77,50,Standard,driver
43,249.3,14.8,264,0,155.8,2476,0,9.7,0,5.9,68,-,-,14.69,77,50,Standard,driver
44,241.1,12.9,254.1,0,148.2,2319,0,12.3,0,6,78.2,-,-,14.69,77,50,Standard,driver
45,251.4,14.3,265.7,0,157.5,2622,0,9.2,0,5.9,67.2,-,-,14.69,77,50,Standard,driver
46,186.6,2.7,189.3,0,126,5500,0,18,0,6.5,105.6,-,-,14.69,77,50,Standard,flightscope
47,82.8,8.5,91.3,0,75,5500,0,18,0,3.3,28.6,-,-,14.69,77,50,Standard,flightscope
48,135.3,3.6,138.9,0,100,5500,0,18,0,4.9,60.6,-,-,14.69,77,50,Standard,flightscope
49,230.8,2.2,233,0,150,5500,0,18,0,7.8,151.5,-,-,14.69,77,50,Standard,flightscope
50,26.6,22.3,48.9,1.7 R,55,2201,26.8 R,9.8,2.2 R,1.1,3.7,-,-,14.69,77,50,Standard,flightscope
51,72.5,6.2,78.7,1.6 L,67.2,4113,6.1 R,22.4,2.5 L,3.2,29.1,-,-,14.69,77,50,Standard,flightscope
52,61.7,25.2,87,8 L,74.9,1872,23.7 L,12.2,4.9 L,2,11.5,-,-,14.69,77,50,Standard,flightscope
53,61.7,25.2,87,8 L,74.9,1872,23.7 L,12.2,4.9 L,2,11.5,0,0,14.69,77,50,Standard,flightscope
54,63.1,9.5,72.6,4.4 L,61.9,2601,4.5 L,23.4,3.3 L,2.8,24.6,0,0,14.69,77,50,Standard,flightscope
55,68.8,19.8,88.7,2.4 R,71.6,1518,13.7 R,16.6,0.4 R,2.4,17.9,0,0,14.69,77,50,Standard,flightscope
56,61.7,25.2,87,8 L,74.9,1872,23.7 L,12.2,4.9 L,2,11.5,0,0,14.69,77,50,Standard,flightscope2
57,63.1,9.5,72.6,4.4 L,61.9,2601,4.5 L,23.4,3.3 L,2.8,24.6,0,0,14.69,77,50,Standard,flightscope2
58,68.8,19.8,88.7,2.4 R,71.6,1518,13.7 R,16.6,0.4 R,2.4,17.9,0,0,14.69,77,50,Standard,flightscope2
59,92.1,12.7,104.8,11.8 R1,78,2114,7.4 R,20.4,6 R,3.4,32.5,-,-,14.69,77,50,Standard,flightscope3
60,33.3,11.6,44.9,7.3 L,46.6,2330,39.1 L,21.7,9.7 L,1.8,10.8,-,-,14.69,77,50,Standard,flightscope3
61,94.7,16.1,110.8,1.4 L,82.9,2300,5.2 L,16.4,0.1 R,3.2,26.8,-,-,14.69,77,50,Standard,flightscope3
62,88.4,8.2,96.6,2.9 L,74.4,2975,2.5 R,22.9,2.4 L,3.6,36.7,-,-,14.69,77,50,Standard,flightscope3
63,68.9,14.9,83.8,9.1 R,71.8,3967,15.8 R,15,4.8 R,2.6,17.4,-,-,14.69,77,50,Standard,flightscope3
64,46,39,85,0.6 L,81.4,1845,26.1 R,6.4,2.7 L,1.3,4.3,-,-,14.69,77,50,Standard,flightscope3
65,68.6,12.6,81.1,3.2 L,65,1496,12.7 L,23.5,1.1 L,2.9,26.2,-,-,14.69,77,50,Standard,flightscope3
66,35.4,7.9,43.3,8.9 R,45.8,3807,25.7 R,24.7,11.8 R,2,13.8,-,-,14.69,77,50,Standard,flightscope3
67,94.1,8.7,102.8,3.3 R,77.4,2863,11.1 R,22.6,0.4 L,3.7,38.9,-,-,14.69,77,50,Standard,flightscope3
68,80,18.7,98.7,14.1 L,76.7,1492,30.1 L,18,6.3 L,2.7,23.1,-,-,14.69,77,50,Standard,flightscope3
69,74.7,6.6,81.3,1.2 L,70.5,6615,15.3 R,19.9,4.7 L,3.2,28.3,-,-,14.69,77,50,Standard,flightscope3
70,99.1,20.5,119.6,0.7 R,86.9,1626,1.8 L,15.4,0.7 R,3.1,25.6,-,-,14.69,77,50,Standard,flightscope3
71,59.8,20.2,80,8.8 L,70.5,2770,17.8 L,13.2,6.2 L,2.1,12.4,-,-,14.69,77,50,Standard,shots
72,65.2,6.8,72,1.8 R,62.6,3485,0.5 L,24,1.7 R,3,27.1,-,-,14.69,77,50,Standard,shots
73,94.9,0.5,95.3,0.7 L,80.1,8561,0.4 R,26.6,0.6 L,4.6,59.7,-,-,14.69,77,50,Standard,
74,260.5,22.7,282.7,42 L,171.2,1589,36.1 L,11.3,1.2 R,5.4,69.2,-,-,14.69,77,50,Standard,
75,277,12.6,289.5,45 L,168.9,2173,25.1 L,13.1,0.1 L,6.5,97.6,-,-,14.69,77,50,Standard,
76,107.7,0.7,107,0.8 R,90.7,10838,1.6 R,27.2,0.3 L,5.4,81.5,-,-,14.69,77,50,Standard,
77,198,13.1,211.1,15.7 L,132.8,3130,1.8 R,10.2,5.2 L,5.2,52.6,-,-,14.69,77,50,Standard,
78,268.7,17.7,286.3,30.4 L,167,1870,16.5 L,10.2,0.9 L,5.9,73.1,-,-,14.69,77,50,Standard,
79,267.2,7.8,274.9,14.8 L,160.8,3055,13.6 L,13.9,2.8 R,7.1,112.1,-,-,14.69,77,50,Standard,
80,257.3,4.7,262,22.7 L,158.6,4316,0.3 L,13,4.9 L,7.3,118,-,-,14.69,77,50,Standard,
81,51.7,1.9,53.7,0.1 R,54.5,8396,7.1 R,30.4,1.4 L,3.1,30,-,-,14.69,77,50,Standard,
82,141.7,1.2,142.9,5 L,105.1,6959,0.8 R,21.4,2.4 L,5.7,86.4,-,-,14.69,77,50,Standard,
83,163.5,0.1,163.4,15.2 L,124,8264,1.2 L,24.5,4.6 L,7.1,142,-,-,14.69,77,50,Standard,
84,262,5.4,267.4,4.1 L,159.8,3958,0.4 L,12.9,0.7 L,7.3,115.5,-,-,14.69,77,50,Standard,
85,269.7,5.2,274.9,18.7 R,166.1,4222,11.3 R,12.1,1.7 L,7.4,116.4,-,-,14.69,77,50,Standard,
86,180.5,2,182.5,6.6 L,124.8,6230,2.1 L,16.9,1 L,6.4,99.8,-,-,14.69,77,50,Standard,
87,165.9,0.3,166.2,11.9 R,123.6,7925,7.3 R,23.1,0.2 L,6.9,132.9,-,-,14.69,77,50,Standard,
88,280.9,9.4,290.2,2.4 R,167.3,2779,0.2 R,11.6,0.4 R,7,101.4,-,-,14.69,77,50,Standard,
89,283.5,5.4,288.9,14.6 L,169.8,3739,1.9 L,13.3,2 L,7.7,131.4,-,-,14.69,77,50,Standard,
90,148.5,0.7,147.8,9.8 L,119.6,9065,2.4 L,28.4,2.3 L,7.2,149.9,-,-,14.69,77,50,Standard,
91,169.3,1,170.3,0.4 R,121.9,6903,0.3 L,22.5,0.3 R,6.8,125.7,-,-,14.69,77,50,Standard,
92,167.7,0.1,167.8,2.8 R,125.2,8287,4.4 R,22.3,1.7 L,7,133.4,-,-,14.69,77,50,Standard,
93,120.2,0.4,119.7,4.4 R,97.7,10406,0.8 R,24.6,1.7 R,5.6,86.6,-,-,14.69,77,50,Standard,
94,291.3,10.5,301.7,13.7 R,169.8,2146,5.2 L,13.3,4.8 R,7.1,112.6,-,-,14.69,77,50,Standard,
95,288.7,7.2,295.9,24 L,171.6,3211,6.6 L,12.5,1.7 L,7.5,119.4,-,-,14.69,77,50,Standard,
96,96.8,0.8,95.9,6.2 R,85.2,10594,7.6 R,32,0.3 R,5.3,84.3,-,-,14.69,77,50,Standard,
97,98.4,0.5,97.9,2.4 R,84,10360,1.2 R,27.5,0.9 R,5,69.7,-,-,14.69,77,50,Standard,
98,164.7,1.3,166,7.5 R,118,6997,0.4 R,18.2,2.4 R,6.2,96.2,-,-,14.69,77,50,Standard,
99,196.1,2.1,198.2,3.2 L,132.9,5990,3 R,18.5,2.6 L,7,123.5,-,-,14.69,77,50,Standard,
100,94.9,0.5,95.3,0.7 L,80.1,8561,0.4 R,26.6,0.6 L,4.6,59.7,-,-,14.69,77,50,Standard
102,260.5,22.7,282.7,42 L,171.2,1589,36.1 L,11.3,1.2 R,5.4,69.2,-,-,14.69,77,50,Standard
103,277,12.6,289.5,45 L,168.9,2173,25.1 L,13.1,0.1 L,6.5,97.6,-,-,14.69,77,50,Standard
104,107.7,0.7,107,0.8 R,90.7,10838,1.6 R,27.2,0.3 L,5.4,81.5,-,-,14.69,77,50,Standard
105,198,13.1,211.1,15.7 L,132.8,3130,1.8 R,10.2,5.2 L,5.2,52.6,-,-,14.69,77,50,Standard
106,268.7,17.7,286.3,30.4 L,167,1870,16.5 L,10.2,0.9 L,5.9,73.1,-,-,14.69,77,50,Standard
107,267.2,7.8,274.9,14.8 L,160.8,3055,13.6 L,13.9,2.8 R,7.1,112.1,-,-,14.69,77,50,Standard
108,257.3,4.7,262,22.7 L,158.6,4316,0.3 L,13,4.9 L,7.3,118,-,-,14.69,77,50,Standard
109,51.7,1.9,53.7,0.1 R,54.5,8396,7.1 R,30.4,1.4 L,3.1,30,-,-,14.69,77,50,Standard
110,141.7,1.2,142.9,5 L,105.1,6959,0.8 R,21.4,2.4 L,5.7,86.4,-,-,14.69,77,50,Standard
111,163.5,0.1,163.4,15.2 L,124,8264,1.2 L,24.5,4.6 L,7.1,142,-,-,14.69,77,50,Standard
112,262,5.4,267.4,4.1 L,159.8,3958,0.4 L,12.9,0.7 L,7.3,115.5,-,-,14.69,77,50,Standard
113,269.7,5.2,274.9,18.7 R,166.1,4222,11.3 R,12.1,1.7 L,7.4,116.4,-,-,14.69,77,50,Standard
114,180.5,2,182.5,6.6 L,124.8,6230,2.1 L,16.9,1 L,6.4,99.8,-,-,14.69,77,50,Standard
115,165.9,0.3,166.2,11.9 R,123.6,7925,7.3 R,23.1,0.2 L,6.9,132.9,-,-,14.69,77,50,Standard
116,280.9,9.4,290.2,2.4 R,167.3,2779,0.2 R,11.6,0.4 R,7,101.4,-,-,14.69,77,50,Standard
117,283.5,5.4,288.9,14.6 L,169.8,3739,1.9 L,13.3,2 L,7.7,131.4,-,-,14.69,77,50,Standard
118,148.5,0.7,147.8,9.8 L,119.6,9065,2.4 L,28.4,2.3 L,7.2,149.9,-,-,14.69,77,50,Standard
119,169.3,1,170.3,0.4 R,121.9,6903,0.3 L,22.5,0.3 R,6.8,125.7,-,-,14.69,77,50,Standard
120,167.7,0.1,167.8,2.8 R,125.2,8287,4.4 R,22.3,1.7 L,7,133.4,-,-,14.69,77,50,Standard
121,120.2,0.4,119.7,4.4 R,97.7,10406,0.8 R,24.6,1.7 R,5.6,86.6,-,-,14.69,77,50,Standard
122,291.3,10.5,301.7,13.7 R,169.8,2146,5.2 L,13.3,4.8 R,7.1,112.6,-,-,14.69,77,50,Standard
123,288.7,7.2,295.9,24 L,171.6,3211,6.6 L,12.5,1.7 L,7.5,119.4,-,-,14.69,77,50,Standard
124,96.8,0.8,95.9,6.2 R,85.2,10594,7.6 R,32,0.3 R,5.3,84.3,-,-,14.69,77,50,Standard
125,98.4,0.5,97.9,2.4 R,84,10360,1.2 R,27.5,0.9 R,5,69.7,-,-,14.69,77,50,Standard
126,164.7,1.3,166,7.5 R,118,6997,0.4 R,18.2,2.4 R,6.2,96.2,-,-,14.69,77,50,Standard
127,196.1,2.1,198.2,3.2 L,132.9,5990,3 R,18.5,2.6 L,7,123.5,-,-,14.69,77,50,Standard
128,56,11.2,67.2,4.6 L,61.1,3986,3.4 L,18.7,4.2 L,2.4,17.2,-,-,14.69,77,50,Standard
